year,month,avg_temp
1995,4,22.1
1995,5,23.3
1995,6,26.3
1995,7,28.5
1995,8,29.0
1995,9,27.8
1995,10,26.1
1995,11,21.0
1995,12,17.8
1996,1,17.1
1996,2,16.3
1996,3,19.0
1996,4,19.5
1996,5,22.4
1996,6,27.5
1996,7,29.4
1996,8,28.1
1996,9,27.9
1996,10,24.6
1996,11,23.2
1996,12,18.1
1997,1,16.5
1997,2,17.1
1997,3,19.9
1997,4,22.0
1997,5,24.6
1997,6,26.1
1997,7,28.4
1997,8,27.8
1997,9,26.8
1997,10,24.3
1997,11,22.6
1997,12,19.7
1998,1,18.7
1998,2,18.5
1998,3,20.2
1998,4,23.5
1998,5,26.1
1998,6,27.4
1998,7,29.5
1998,8,30.1
1998,9,28.4
1998,10,26.7
1998,11,23.0
1998,12,20.2
1999,1,18.0
1999,2,17.4
1999,3,20.9
1999,4,21.7
1999,5,23.7
1999,6,27.5
1999,7,28.3
1999,8,28.4
1999,9,28.2
1999,10,26.3
1999,11,22.6
1999,12,18.4
2000,1,17.9
2000,2,16.2
2000,3,18.6
2000,4,20.7
2000,5,23.1
2000,6,27.2
2000,7,28.0
2000,8,27.9
2000,9,26.3
2000,10,26.2
2000,11,23.4
2000,12,19.9
2001,1,17.7
2001,2,18.7
2001,3,18.3
2001,4,21.2
2001,5,23.5
2001,6,27.8
2001,7,29.9
2001,8,29.6
2001,9,27.5
2001,10,25.6
2001,11,21.8
2001,12,19.2
2002,1,17.1
2002,2,17.4
2002,3,19.6
2002,4,22.4
2002,5,25.1
2002,6,27.0
2002,7,28.2
2002,8,28.7
2002,9,27.5
2002,10,24.7
2002,11,21.1
2002,12,19.4
2003,1,15.7
2003,2,18.1
2003,3,18.4
2003,4,22.6
2003,5,24.4
2003,6,26.6
2003,7,29.9
2003,8,29.6
2003,9,28.5
2003,10,24.7
2003,11,23.8
2003,12,18.7
2004,1,16.8
2004,2,17.1
2004,3,19.2
2004,4,21.9
2004,5,25.5
2004,6,26.7
2004,7,28.8
2004,8,29.0
2004,9,27.6
2004,10,24.9
2004,11,22.6
2004,12,20.2
2005,1,16.6
2005,2,17.9
2005,3,17.2
2005,4,21.5
2005,5,24.2
2005,6,26.6
2005,7,29.2
2005,8,29.0
2005,9,28.2
2005,10,26.2
